symbol,name,yahoo,stockanalysis,has_listing
GRR,Globe Residency REIT,GRR.KA,GRR,1
GRYL,Grays Leasing Limited,GRYL.KA,GRYL,1
GSPM,Gulshan Spinning Mills Limited,GSPM.KA,GSPM,1
GTYR,Ghandhara Tyre & Rubber Company Limited,GTYR.KA,GTYR,1
GUSM,Gulistan Spinning Mills Limited,GUSM.KA,GUSM,1
GVGL,Ghani Value Glass Limited,GVGL.KA,GVGL,1
GWLC,Gharibwal Cement Limited,GWLC.KA,GWLC,1
HABSM,Habib Sugar Mills Limited,HABSM.KA,HABSM,1
HAEL,Hala Enterprises Limited,HAEL.KA,HAEL,1
HAFL,Hafiz Limited,HAFL.KA,HAFL,1
HALEON,Haleon Pakistan Limited,HALEON.KA,HALEON,1
HASCOL,Hascol Petroleum Limited,HASCOL.KA,HASCOL,1
HBL,Habib Bank Limited,HBL.KA,HBL,1
HCAR,Honda Atlas Cars (Pakistan) Limited,HCAR.KA,HCAR,1
HICL,Habib Insurance Company Limited,HICL.KA,HICL,1
HINO,Hinopak Motors Limited,HINO.KA,HINO,1
HINOON,Highnoon Laboratories Limited,HINOON.KA,HINOON,1
HIRAT,Hira Textile Mills Limited,HIRAT.KA,HIRAT,1
HMB,Habib Metropolitan Bank Limited,HMB.KA,HMB,1
HPL,Hoechst Pakistan Limited,HPL.KA,HPL,1
HRPL,Habib Rice Product Limited.,HRPL.KA,HRPL,1
HSPI,Huffaz Seamless Pipe Industries Limited,HSPI.KA,HSPI,1
HTL,Hi-Tech Lubricants Limited,HTL.KA,HTL,1
HUBC,The Hub Power Company Limited,HUBC.KA,HUBC,1
HUMNL,Hum Network Limited,HUMNL.KA,HUMNL,1
HUSI,Husein Industries Limited,HUSI.KA,HUSI,1
HWQS,Haseeb Waqas Sugar Mills Limited,HWQS.KA,HWQS,1
IBFL,Ibrahim Fibres Limited,IBFL.KA,IBFL,1
IBLHL,IBL HealthCare Limited,IBLHL.KA,IBLHL,1
ICCI,ICC Industries Limited,ICCI.KA,ICCI,1
ICIBL,Invest Capital Investment Bank Limited,ICIBL.KA,ICIBL,1
ICL,Ittehad Chemicals Limted,ICL.KA,ICL,1
IDRT,Idrees Textile Mills Limited,IDRT.KA,IDRT,1
IDSM,Ideal Spinning Mills Limited,IDSM.KA,IDSM,0
IDYM,Indus Dyeing & Manufacturing Co. Limited,IDYM.KA,IDYM,1
IGIHL,IGI Holdings Limited,IGIHL.KA,IGIHL,1
IGIL,IGI Life Insurance Limited,IGIL.KA,IGIL,1
ILP,Interloop Limited,ILP.KA,ILP,1
IMAGE,Image Pakistan Limited,IMAGE.KA,IMAGE,1
IML,Imperial  Limited,IML.KA,IML,1
IMS,Intermarket Securities Limited,IMS.KA,IMS,1
INDU,Indus Motor Company Limited,INDU.KA,INDU,1
INIL,International Industries Limited,INIL.KA,INIL,1
INKL,International Knitwear Limited,INKL.KA,INKL,1
IPAK,International Packaging Films Limited,IPAK.KA,IPAK,1
IREIT,Image Reit,IREIT.KA,IREIT,1
ISIL,Ismail Industries Limited,ISIL.KA,ISIL,1
ISL,International Steels Limited,ISL.KA,ISL,1
ITTEFAQ,Ittefaq Iron Industries Limited,ITTEFAQ.KA,ITTEFAQ,1
JATM,J.A. Textile Mills Limited,JATM.KA,JATM,1
JDMT,Janana De Malucho Textile Mills Limited,JDMT.KA,JDMT,1
JDWS,JDW Sugar Mills Limited,JDWS.KA,JDWS,1
JGICL,Jubilee General Insurance Company Ltd.,JGICL.KA,JGICL,1
JKSM,J.K. Spinning Mills Limited,JKSM.KA,JKSM,1
JLICL,Jubilee Life Insurance Company Limited,JLICL.KA,JLICL,1
JSBL,JS Bank Limited,JSBL.KA,JSBL,1
JSCL,Jahangir Siddiqui & Co. Ltd.,JSCL.KA,JSCL,1
JSGCL,JS Global Capital Limited,JSGCL.KA,JSGCL,1
JSIL,JS Investments Limited,JSIL.KA,JSIL,1
