symbol,name,yahoo,stockanalysis,has_listing
CAV,CARNAVALE RESOURCES LIMITED,CAV.AX,CAV,0
CAY,CANYON RESOURCES LIMITED,CAY.AX,CAY,0
CAZ,CAZALY RESOURCES LIMITED,CAZ.AX,CAZ,0
CBA,Commonwealth Bank,CBA.AX,CBA,0
CBE,COBRE LIMITED,CBE.AX,CBE,0
CBL,CONTROL BIONICS LIMITED,CBL.AX,CBL,0
CBO,COBRAM ESTATE OLIVES LIMITED,CBO.AX,CBO,0
CBY,CANTERBURY RESOURCES LIMITED,CBY.AX,CBY,0
CC5,CLEVER CULTURE SYSTEMS LIMITED,CC5.AX,CC5,0
CC9,CHARIOT RESOURCES LTD,CC9.AX,CC9,0
CCA,CHANGE FINANCIAL LIMITED,CCA.AX,CCA,0
CCE,CARNEGIE CLEAN ENERGY LIMITED,CCE.AX,CCE,0
CCG,COMMS GROUP LTD,CCG.AX,CCG,0
CCL,CUSCAL LIMITED,CCL.AX,CCL,0
CCM,CADOUX LIMITED,CCM.AX,CCM,0
CCO,THE CALMER CO INTERNATIONAL LIMITED,CCO.AX,CCO,0
CCP,CREDIT CORP GROUP LIMITED,CCP.AX,CCP,0
CCR,CREDIT CLEAR LIMITED,CCR.AX,CCR,0
CCV,CASH CONVERTERS INTERNATIONAL,CCV.AX,CCV,0
CCX,CITY CHIC COLLECTIVE LIMITED,CCX.AX,CCX,0
CD1,CD PRIVATE EQUITY FUND I,CD1.AX,CD1,0
CD2,CD PRIVATE EQUITY FUND II,CD2.AX,CD2,0
CD3,CD PRIVATE EQUITY FUND III,CD3.AX,CD3,0
CDA,CODAN LIMITED,CDA.AX,CDA,0
CDE,CODEIFAI LIMITED,CDE.AX,CDE,0
CDM,CADENCE CAPITAL LIMITED,CDM.AX,CDM,0
CDO,CADENCE OPPORTUNITIES FUND LIMITED.,CDO.AX,CDO,0
CDP,CARINDALE PROPERTY TRUST,CDP.AX,CDP,0
CDR,CODRUS MINERALS LIMITED,CDR.AX,CDR,0
CDT,CASTLE MINERALS LIMITED,CDT.AX,CDT,0
CEH,COAST ENTERTAINMENT HOLDINGS LIMITED,CEH.AX,CEH,0
CEN,CONTACT ENERGY LIMITED,CEN.AX,CEN,0
CF1,COMPLII FINTECH SOLUTIONS LTD,CF1.AX,CF1,0
CG1,CARBONXT GROUP LIMITED,CG1.AX,CG1,0
CGF,CHALLENGER LIMITED,CGF.AX,CGF,0
CGO,CPT GLOBAL LIMITED,CGO.AX,CGO,0
CGR,CGN RESOURCES LIMITED,CGR.AX,CGR,0
CGS,COGSTATE LTD,CGS.AX,CGS,0
CHC,CHARTER HALL GROUP,CHC.AX,CHC,0
CHI,CHANNEL INFRASTRUCTURE NZ LIMITED,CHI.AX,CHI,0
CHL,CAMPLIFY HOLDINGS LIMITED,CHL.AX,CHL,0
CHM,CHIMERIC THERAPEUTICS LIMITED,CHM.AX,CHM,0
CHN,CHALICE MINING LIMITED,CHN.AX,CHN,0
CHR,CHARGER METALS NL,CHR.AX,CHR,0
CHW,CHILWA MINERALS LTD,CHW.AX,CHW,0
CIA,CHAMPION IRON LIMITED,CIA.AX,CIA,0
CIN,CARLTON INVESTMENTS LIMITED,CIN.AX,CIN,0
CIP,CENTURIA INDUSTRIAL REIT,CIP.AX,CIP,0
CIW,CLIME INVESTMENT MANAGEMENT LTD,CIW.AX,CIW,0
CKA,COKAL LIMITED,CKA.AX,CKA,0
CKF,COLLINS FOODS LIMITED,CKF.AX,CKF,0
CL8,CL8 HOLDINGS LIMITED,CL8.AX,CL8,0
CLA,CELSIUS RESOURCES LIMITED.,CLA.AX,CLA,0
CLG,CLOSE THE LOOP LTD.,CLG.AX,CLG,0
CLU,CLUEY LTD,CLU.AX,CLU,0
CLV,CLOVER CORPORATION LIMITED,CLV.AX,CLV,0
