provider_symbol,symbol,sector,industry,source
2350.SR,2350,Basic Materials,,
2360.SR,2360,Industrials,Building Products & Equipment,
2370.SR,2370,Industrials,Electrical Equipment & Parts,
2380.SR,2380,Energy,Oil & Gas Refining & Marketing,
2381.SR,2381,Energy,Oil & Gas Drilling,
2382.SR,2382,Energy,Oil & Gas Drilling,
3002.SR,3002,Basic Materials,Building Materials,
3003.SR,3003,Basic Materials,Building Materials,
3004.SR,3004,Basic Materials,Building Materials,
3005.SR,3005,Basic Materials,Building Materials,
3007.SR,3007,Consumer Cyclical,Packaging & Containers,
3008.SR,3008,Basic Materials,Building Materials,
3010.SR,3010,Basic Materials,Building Materials,
3020.SR,3020,Basic Materials,Building Materials,
3030.SR,3030,Basic Materials,Building Materials,
3040.SR,3040,Basic Materials,Building Materials,
3050.SR,3050,Basic Materials,Building Materials,
3060.SR,3060,Basic Materials,Building Materials,
3080.SR,3080,Basic Materials,Building Materials,
3090.SR,3090,Basic Materials,Building Materials,
3091.SR,3091,Basic Materials,Building Materials,
3092.SR,3092,Basic Materials,Building Materials,
4001.SR,4001,Consumer Defensive,,
4002.SR,4002,Healthcare,Medical Care Facilities,
4003.SR,4003,Consumer Cyclical,Specialty Retail,
4004.SR,4004,Healthcare,Medical Care Facilities,
4005.SR,4005,Healthcare,Medical Care Facilities,
4006.SR,4006,Consumer Cyclical,Department Stores,
4007.SR,4007,Healthcare,Medical Care Facilities,
4008.SR,4008,Consumer Cyclical,Specialty Retail,
4009.SR,4009,Healthcare,Medical Care Facilities,
4011.SR,4011,Consumer Cyclical,Luxury Goods,
4012.SR,4012,Consumer Cyclical,Apparel Manufacturing,
4013.SR,4013,Healthcare,,
4014.SR,4014,Healthcare,Medical Instruments & Supplies,
4015.SR,4015,Healthcare,Drug Manufacturers—Specialty & Generic,
4016.SR,4016,Healthcare,Drug Manufacturers—Specialty & Generic,
4017.SR,4017,Healthcare,Medical Care Facilities,
4018.SR,4018,Healthcare,Medical Care Facilities,
4019.SR,4019,Healthcare,Medical Care Facilities,
4020.SR,4020,Real Estate,Real Estate Services,
4021.SR,4021,Healthcare,Medical Care Facilities,
4030.SR,4030,Industrials,,
4031.SR,4031,Industrials,Airports & Air Services,
4040.SR,4040,Industrials,Railroads,
4050.SR,4050,Consumer Cyclical,Specialty Retail,
4051.SR,4051,Industrials,Conglomerates,
4061.SR,4061,Consumer Defensive,Food Distribution,
4070.SR,4070,Communication Services,Advertising Agencies,
4071.SR,4071,Communication Services,Advertising Agencies,
4072.SR,4072,Communication Services,Broadcasting,
4080.SR,4080,Industrials,Conglomerates,
4081.SR,4081,Financial Services,Credit Services,
4082.SR,4082,Financial Services,Credit Services,
4083.SR,4083,Financial Services,Asset Management,
4084.SR,4084,Financial Services,Asset Management,
4090.SR,4090,Consumer Cyclical,Lodging,
4100.SR,4100,Consumer Cyclical,Lodging,
4110.SR,4110,Industrials,Conglomerates,
4130.SR,4130,Industrials,Conglomerates,
4140.SR,4140,Industrials,Conglomerates,
4141.SR,4141,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
4142.SR,4142,Industrials,Electrical Equipment & Parts,
4143.SR,4143,Basic Materials,Aluminum,
4144.SR,4144,Industrials,Building Products & Equipment,
4145.SR,4145,Industrials,Building Products & Equipment,
4146.SR,4146,Energy,Oil & Gas Equipment & Services,
4147.SR,4147,Industrials,Specialty Industrial Machinery,
4148.SR,4148,Basic Materials,Specialty Chemicals,
4150.SR,4150,Real Estate,Real Estate—Diversified,
4160.SR,4160,Financial Services,Asset Management,
4161.SR,4161,Consumer Defensive,Grocery Stores,
4162.SR,4162,Consumer Defensive,Food Distribution,
4163.SR,4163,Healthcare,Pharmaceutical Retailers,
4164.SR,4164,Healthcare,Pharmaceutical Retailers,
4165.SR,4165,Consumer Cyclical,Specialty Retail,
4170.SR,4170,Consumer Cyclical,Resorts & Casinos,
4180.SR,4180,Consumer Cyclical,Luxury Goods,
4190.SR,4190,Consumer Cyclical,Specialty Retail,
4191.SR,4191,Consumer Cyclical,Specialty Retail,
4192.SR,4192,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
4193.SR,4193,Consumer Defensive,Household & Personal Products,
4194.SR,4194,Industrials,Industrial Distribution,
4200.SR,4200,Consumer Cyclical,Specialty Retail,
4210.SR,4210,Communication Services,Publishing,
4220.SR,4220,Real Estate,Real Estate—Development,
4230.SR,4230,Real Estate,Real Estate Services,
4240.SR,4240,Consumer Cyclical,Apparel Retail,
4250.SR,4250,Consumer Cyclical,Lodging,
4260.SR,4260,Industrials,Rental & Leasing Services,
4261.SR,4261,Industrials,Rental & Leasing Services,
4262.SR,4262,Industrials,Rental & Leasing Services,
4263.SR,4263,Industrials,Integrated Freight & Logistics,
4264.SR,4264,Industrials,Airlines,
4265.SR,4265,Industrials,Rental & Leasing Services,
4270.SR,4270,Industrials,Specialty Business Services,
4280.SR,4280,Industrials,Conglomerates,
4290.SR,4290,Consumer Defensive,Education & Training Services,
4291.SR,4291,Consumer Defensive,Education & Training Services,
4292.SR,4292,Consumer Defensive,Education & Training Services,
4300.SR,4300,Real Estate,Real Estate—Development,
4310.SR,4310,Real Estate,Real Estate—Development,
4320.SR,4320,Real Estate,Real Estate Services,
4321.SR,4321,Real Estate,Real Estate—Diversified,
4322.SR,4322,Real Estate,Real Estate—Development,
4323.SR,4323,Real Estate,Real Estate—Development,
4324.SR,4324,Real Estate,Real Estate Services,
4325.SR,4325,Real Estate,Real Estate—Diversified,
4326.SR,4326,Real Estate,Real Estate—Development,
4327.SR,4327,Real Estate,Real Estate Services,
4330.SR,4330,Real Estate,REIT—Hotel & Motel,
4331.SR,4331,Real Estate,REIT—Industrial,
4333.SR,4333,Real Estate,REIT—Diversified,
4335.SR,4335,Real Estate,REIT—Diversified,
4336.SR,4336,Real Estate,REIT—Diversified,
4340.SR,4340,Real Estate,REIT—Diversified,
4344.SR,4344,Real Estate,REIT—Diversified,
5110.SR,5110,Utilities,Utilities—Regulated Electric,
6001.SR,6001,Consumer Defensive,Packaged Foods,
6002.SR,6002,Consumer Cyclical,Restaurants,
