provider_symbol,symbol,sector,industry,source
DEEPINDS.NS,DEEPINDS,Energy,Oil & Gas E&P,
DELHIVERY.NS,DELHIVERY,Industrials,Integrated Freight & Logistics,
DELPHIFX.NS,DELPHIFX,Financial Services,Capital Markets,
DELTACORP.NS,DELTACORP,Consumer Cyclical,Resorts & Casinos,
DELTAMAGNT.NS,DELTAMAGNT,Consumer Cyclical,Textile Manufacturing,
DEN.NS,DEN,Communication Services,Entertainment,
DENORA.NS,DENORA,Industrials,Electrical Equipment & Parts,
DENTA.NS,DENTA,Industrials,Engineering & Construction,
DEVIT.NS,DEVIT,Technology,Information Technology Services,
DEVX.NS,DEVX,Real Estate,Real Estate Services,
DEVYANI.NS,DEVYANI,Consumer Cyclical,Restaurants,
DGCONTENT.NS,DGCONTENT,Communication Services,Internet Content & Information,
DHAMPURSUG.NS,DHAMPURSUG,Consumer Defensive,Confectioners,
DHANBANK.NS,DHANBANK,Financial Services,Banks—Regional,
DHANUKA.NS,DHANUKA,Basic Materials,Agricultural Inputs,
DHARAN.NS,DHARAN,Real Estate,Real Estate—Development,
DHARMAJ.NS,DHARMAJ,Basic Materials,Agricultural Inputs,
DHRUV.NS,DHRUV,Industrials,Engineering & Construction,
DHUNINV.NS,DHUNINV,Financial Services,Capital Markets,
DIACABS.NS,DIACABS,Industrials,Specialty Industrial Machinery,
DIAMINESQ.NS,DIAMINESQ,Basic Materials,Chemicals,
DIAMONDYD.NS,DIAMONDYD,Consumer Defensive,Packaged Foods,
DICIND.NS,DICIND,Basic Materials,Specialty Chemicals,
DIFFNKG.NS,DIFFNKG,Industrials,Specialty Industrial Machinery,
DIGIDRIVE.NS,DIGIDRIVE,Consumer Cyclical,Internet Retail,
DIGISPICE.NS,DIGISPICE,Financial Services,Financial Conglomerates,
DIGITIDE.NS,DIGITIDE,Industrials,Specialty Business Services,
DIGJAMLMTD.NS,DIGJAMLMTD,Consumer Cyclical,Textile Manufacturing,
DIL.NS,DIL,Industrials,Farm & Heavy Construction Machinery,
DISHTV.NS,DISHTV,Communication Services,Entertainment,
DIVGIITTS.NS,DIVGIITTS,Consumer Cyclical,Auto Parts,
DIVISLAB.NS,DIVISLAB,Healthcare,,
DIXON.NS,DIXON,Technology,Consumer Electronics,
DJML.NS,DJML,Industrials,Specialty Business Services,
DLF.NS,DLF,Real Estate,Real Estate—Development,
DLINKINDIA.NS,DLINKINDIA,Technology,Communication Equipment,
DMART.NS,DMART,Consumer Defensive,,
DMCC.NS,DMCC,Basic Materials,Chemicals,
DNAMEDIA.NS,DNAMEDIA,Communication Services,Publishing,
DODLA.NS,DODLA,Consumer Defensive,Food Distribution,
DOLATALGO.NS,DOLATALGO,Financial Services,Capital Markets,
DOLLAR.NS,DOLLAR,Consumer Cyclical,Apparel Manufacturing,
DOLPHIN.NS,DOLPHIN,Energy,Oil & Gas Equipment & Services,
DOMS.NS,DOMS,Industrials,Business Equipment & Supplies,
DONEAR.NS,DONEAR,Consumer Cyclical,Textile Manufacturing,
DPABHUSHAN.NS,DPABHUSHAN,Consumer Cyclical,Luxury Goods,
DPSCLTD.NS,DPSCLTD,Utilities,Utilities—Regulated Electric,
DPWIRES.NS,DPWIRES,Industrials,Metal Fabrication,
DRCSYSTEMS.NS,DRCSYSTEMS,Technology,Information Technology Services,
DREAMFOLKS.NS,DREAMFOLKS,Industrials,Airports & Air Services,
DREDGECORP.NS,DREDGECORP,Industrials,Engineering & Construction,
DRREDDY.NS,DRREDDY,Healthcare,,
DSFCL.NS,DSFCL,Basic Materials,Specialty Chemicals,
DSSL.NS,DSSL,Technology,Information Technology Services,
DTIL.NS,DTIL,Consumer Defensive,Packaged Foods,
DUCON.NS,DUCON,Industrials,Specialty Industrial Machinery,
DVL.NS,DVL,Financial Services,Capital Markets,
DWARKESH.NS,DWARKESH,Consumer Defensive,Confectioners,
DYCL.NS,DYCL,Industrials,Electrical Equipment & Parts,
DYNAMATECH.NS,DYNAMATECH,Consumer Cyclical,Auto Parts,
DYNPRO.NS,DYNPRO,Basic Materials,Specialty Chemicals,
E2E.NS,E2E,Technology,Software—Infrastructure,
EASEMYTRIP.NS,EASEMYTRIP,Consumer Cyclical,Travel Services,
EASTSILK.NS,EASTSILK,Consumer Cyclical,Textile Manufacturing,
EBGNG.NS,EBGNG,Technology,Computer Hardware,
ECLERX.NS,ECLERX,Technology,Information Technology Services,
ECOSMOBLTY.NS,ECOSMOBLTY,Industrials,Rental & Leasing Services,
EDELWEISS.NS,EDELWEISS,Financial Services,Financial Conglomerates,
EDUCOMP.NS,EDUCOMP,Consumer Defensive,Education & Training Services,
EFCIL.NS,EFCIL,Real Estate,Real Estate Services,
EICHERMOT.NS,EICHERMOT,Consumer Cyclical,,
EIDPARRY.NS,EIDPARRY,Basic Materials,Agricultural Inputs,
EIEL.NS,EIEL,Industrials,Engineering & Construction,
EIFFL.NS,EIFFL,Consumer Defensive,Packaged Foods,
EIHAHOTELS.NS,EIHAHOTELS,Consumer Cyclical,Lodging,
EIHOTEL.NS,EIHOTEL,Consumer Cyclical,Lodging,
EIMCOELECO.NS,EIMCOELECO,Industrials,Farm & Heavy Construction Machinery,
EKC.NS,EKC,Industrials,Specialty Industrial Machinery,
ELANTAS.NS,ELANTAS,Basic Materials,Specialty Chemicals,
ELDEHSG.NS,ELDEHSG,Real Estate,Real Estate Services,
ELECON.NS,ELECON,Industrials,Specialty Industrial Machinery,
ELECTCAST.NS,ELECTCAST,Industrials,Building Products & Equipment,
ELECTHERM.NS,ELECTHERM,Basic Materials,Steel,
ELGIEQUIP.NS,ELGIEQUIP,Industrials,Specialty Industrial Machinery,
ELGIRUBCO.NS,ELGIRUBCO,Consumer Cyclical,Auto Parts,
ELIN.NS,ELIN,Industrials,Electrical Equipment & Parts,
ELLEN.NS,ELLEN,Basic Materials,Chemicals,
ELPROINTL.NS,ELPROINTL,Real Estate,Real Estate Services,
EMAMILTD.NS,EMAMILTD,Consumer Defensive,Household & Personal Products,
EMAMIPAP.NS,EMAMIPAP,Basic Materials,Paper & Paper Products,
EMAMIREAL.NS,EMAMIREAL,Real Estate,Real Estate—Development,
EMBDL.NS,EMBDL,Real Estate,Real Estate—Diversified,
EMCURE.NS,EMCURE,Healthcare,Drug Manufacturers—Specialty & Generic,
EMIL.NS,EMIL,Consumer Cyclical,Specialty Retail,
EMKAY.NS,EMKAY,Financial Services,Capital Markets,
EMMBI.NS,EMMBI,Consumer Cyclical,Packaging & Containers,
EMMVEE.NS,EMMVEE,Technology,Solar,
EMSLIMITED.NS,EMSLIMITED,Industrials,Engineering & Construction,
EMUDHRA.NS,EMUDHRA,Technology,Software—Application,
ENDURANCE.NS,ENDURANCE,Consumer Cyclical,Auto Parts,
ENERGYDEV.NS,ENERGYDEV,Utilities,Utilities—Regulated Electric,
ENGINERSIN.NS,ENGINERSIN,Industrials,Engineering & Construction,
ENIL.NS,ENIL,Communication Services,Broadcasting,
ENRIN.NS,ENRIN,Utilities,Utilities—Renewable,
ENTERO.NS,ENTERO,Healthcare,Medical Distribution,
EPACK.NS,EPACK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
EPACKPEB.NS,EPACKPEB,Industrials,Engineering & Construction,
EPIGRAL.NS,EPIGRAL,Basic Materials,Chemicals,
EPL.NS,EPL,Consumer Cyclical,Packaging & Containers,
EQUIPPP.NS,EQUIPPP,Technology,Information Technology Services,
EQUITASBNK.NS,EQUITASBNK,Financial Services,Banks—Regional,
ERIS.NS,ERIS,Healthcare,Drug Manufacturers—Specialty & Generic,
ESABINDIA.NS,ESABINDIA,Industrials,Tools & Accessories,
ESAFSFB.NS,ESAFSFB,Financial Services,Banks—Regional,
ESCORTS.NS,ESCORTS,Industrials,Farm & Heavy Construction Machinery,
ESSARSHPNG.NS,ESSARSHPNG,Industrials,Marine Shipping,
ESSENTIA.NS,ESSENTIA,Consumer Defensive,Food Distribution,
ESTER.NS,ESTER,Basic Materials,Specialty Chemicals,
ETERNAL.NS,ETERNAL,Consumer Cyclical,Internet Retail,
ETHOSLTD.NS,ETHOSLTD,Consumer Cyclical,Luxury Goods,
EUREKAFORB.NS,EUREKAFORB,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
EUROBOND.NS,EUROBOND,Industrials,Building Products & Equipment,
EUROPRATIK.NS,EUROPRATIK,Basic Materials,Building Materials,
EUROTEXIND.NS,EUROTEXIND,Real Estate,Real Estate—Development,
EVEREADY.NS,EVEREADY,Industrials,Electrical Equipment & Parts,
EVERESTIND.NS,EVERESTIND,Industrials,Building Products & Equipment,
EXCELINDUS.NS,EXCELINDUS,Basic Materials,Specialty Chemicals,
EXCELSOFT.NS,EXCELSOFT,Technology,Software—Application,
EXICOM.NS,EXICOM,Industrials,Electrical Equipment & Parts,
EXIDEIND.NS,EXIDEIND,Consumer Cyclical,Auto Parts,
EXPLEOSOL.NS,EXPLEOSOL,Technology,Information Technology Services,
EXXARO.NS,EXXARO,Industrials,Building Products & Equipment,
