provider_symbol,symbol,sector,industry,source
NCPL.KA,NCPL,Power Generation & Distribution,,
NESTLE.KA,NESTLE,Food & Personal Care Products,,
NETSOL.KA,NETSOL,Technology & Communication,,
NEXT.KA,NEXT,Inv. Banks / Inv. Cos. / Securities Cos.,,
NICL.KA,NICL,Chemical,,
NML.KA,NML,Textile Composite,,
NONS.KA,NONS,Sugar & Allied Industries,,
NPL.KA,NPL,Power Generation & Distribution,,
NRL.KA,NRL,Refinery,,
NRSL.KA,NRSL,Chemical,,
NSRM.KA,NSRM,Synthetic & Rayon,,
OCTOPUS.KA,OCTOPUS,Technology & Communication,,
OGDC.KA,OGDC,Oil & Gas Exploration Companies,Oil & Gas E&P,
OLPL.KA,OLPL,Inv. Banks / Inv. Cos. / Securities Cos.,,
OLPM.KA,OLPM,Modarabas,,
OML.KA,OML,Miscellaneous,,
ORM.KA,ORM,Modarabas,,
OTSU.KA,OTSU,Pharmaceuticals,,
PABC.KA,PABC,Miscellaneous,,
PACE.KA,PACE,Property,,
PAEL.KA,PAEL,Cable & Electrical Goods,,
PAKD.KA,PAKD,Technology & Communication,,
PAKL.KA,PAKL,Leather & Tanneries,,
PAKOXY.KA,PAKOXY,Chemical,,
PAKRI.KA,PAKRI,Insurance,,
PAKT.KA,PAKT,Tobacco,,
PASL.KA,PASL,INV. BANKS / INV. COS. / SECURITIES COS.,,
PASM.KA,PASM,TEXTILE COMPOSITE,,
PCAL.KA,PCAL,Cable & Electrical Goods,,
PECO.KA,PECO,ENGINEERING,,
PGLC.KA,PGLC,Leasing Companies,,
PHDL.KA,PHDL,MISCELLANEOUS,,
PIAHCLA.KA,PIAHCLA,Inv. Banks / Inv. Cos. / Securities Cos.,,
PIBTL.KA,PIBTL,Transport,,
PICT.KA,PICT,Transport,,
PIL.KA,PIL,INSURANCE,,
PINL.KA,PINL,Insurance,,
PIOC.KA,PIOC,Cement,,
PKGI.KA,PKGI,Insurance,,
PKGP.KA,PKGP,Power Generation & Distribution,,
PKGS.KA,PKGS,"Paper, Board & Packaging",,
PMRS.KA,PMRS,Sugar & Allied Industries,,
PNSC.KA,PNSC,Transport,,
POL.KA,POL,Oil & Gas Exploration Companies,,
POML.KA,POML,Vanaspati & Allied Industries,,
POWER.KA,POWER,Cement,,
PPL.KA,PPL,Oil & Gas Exploration Companies,Oil & Gas E&P,
PPP.KA,PPP,"Paper, Board & Packaging",,
PPVC.KA,PPVC,CHEMICAL,,
PQGTL.KA,PQGTL,Insurance,,
PREMA.KA,PREMA,Food & Personal Care Products,,
PRET.KA,PRET,Textile Spinning,,
PRL.KA,PRL,Refinery,,
PRWM.KA,PRWM,Textile Weaving,,
PSEL.KA,PSEL,Miscellaneous,,
PSO.KA,PSO,Oil & Gas Marketing Companies,,
PSX.KA,PSX,Inv. Banks / Inv. Cos. / Securities Cos.,,
PSYL.KA,PSYL,Synthetic & Rayon,,
PTC.KA,PTC,Technology & Communication,,
PTL.KA,PTL,Automobile Parts & Accessories,,
QTECH.KA,QTECH,Technology & Communication,,
QUET.KA,QUET,TEXTILE COMPOSITE,,
QUICE.KA,QUICE,Food & Personal Care Products,,
REDCO.KA,REDCO,Textile Composite,,
REWM.KA,REWM,Textile Composite,,
RICL.KA,RICL,Insurance,,
RMPL.KA,RMPL,Food & Personal Care Products,,
RPL.KA,RPL,"Paper, Board & Packaging",,
RUBY.KA,RUBY,TEXTILE SPINNING,,
RUPL.KA,RUPL,Synthetic & Rayon,,
SAIF.KA,SAIF,Textile Spinning,,
SANE.KA,SANE,TEXTILE SPINNING,,
SANSM.KA,SANSM,Sugar & Allied Industries,,
SAPT.KA,SAPT,Textile Composite,,
SARC.KA,SARC,Chemical,,
SAZEW.KA,SAZEW,Automobile Assembler,,
SBL.KA,SBL,Commercial Banks,,
SCBPL.KA,SCBPL,Commercial Banks,,
SCL.KA,SCL,FOOD & PERSONAL CARE PRODUCTS,,
SEARL.KA,SEARL,Pharmaceuticals,,
SEL.KA,SEL,Power Generation & Distribution,,
SEPL.KA,SEPL,"Paper, Board & Packaging",,
SERT.KA,SERT,Textile Spinning,,
SFL.KA,SFL,Textile Composite,,
SGABL.KA,SGABL,SYNTHETIC & RAYON,,
SGF.KA,SGF,Leather & Tanneries,,
SGPL.KA,SGPL,Power Generation & Distribution,,
SHDT.KA,SHDT,Textile Spinning,,
SHEZ.KA,SHEZ,Food & Personal Care Products,,
SHFA.KA,SHFA,Miscellaneous,,
SHJS.KA,SHJS,Sugar & Allied Industries,,
SHNI.KA,SHNI,Insurance,,
SHSML.KA,SHSML,Sugar & Allied Industries,,
SIBL.KA,SIBL,Inv. Banks / Inv. Cos. / Securities Cos.,,
SIEM.KA,SIEM,Cable & Electrical Goods,,
SINDM.KA,SINDM,Modarabas,,
SITC.KA,SITC,Chemical,,
SKRS.KA,SKRS,SUGAR & ALLIED INDUSTRIES,,
SLGL.KA,SLGL,Transport,,
SLL.KA,SLL,LEASING COMPANIES,,
SLYT.KA,SLYT,TEXTILE SPINNING,,
SMCPL.KA,SMCPL,Cement,,
SML.KA,SML,SUGAR & ALLIED INDUSTRIES,,
SNAI.KA,SNAI,Textile Spinning,,
SNBL.KA,SNBL,Commercial Banks,,
SNGP.KA,SNGP,Oil & Gas Marketing Companies,,
SPAC1.KA,SPAC1,Inv. Banks / Inv. Cos. / Securities Cos.,,
SPCL.KA,SPCL,LEASING COMPANIES,,
SPEL.KA,SPEL,"Paper, Board & Packaging",,
SPL.KA,SPL,CHEMICAL,,
SPSL.KA,SPSL,Oil & Gas Marketing Companies,,
SPWL.KA,SPWL,Power Generation & Distribution,,
SRVI.KA,SRVI,Leather & Tanneries,,
SSGC.KA,SSGC,Oil & Gas Marketing Companies,,
SSML.KA,SSML,TEXTILE SPINNING,,
STCL.KA,STCL,Glass & Ceramics,,
STJT.KA,STJT,Textile Weaving,,
STL.KA,STL,Technology & Communication,,
STML.KA,STML,Textile Composite,,
STPL.KA,STPL,Miscellaneous,,
STYLERS.KA,STYLERS,Apparel,,
