provider_symbol,symbol,sector,industry,source
BP8.AX,BP8,Healthcare,Drug Manufacturers—Specialty & Generic,
BPH.AX,BPH,Financial Services,Asset Management,
BPM.AX,BPM,Basic Materials,Other Precious Metals & Mining,
BPP.AX,BPP,Industrials,,
BPT.AX,BPT,Energy,Oil & Gas E&P,
BRE.AX,BRE,Basic Materials,Other Precious Metals & Mining,
BRG.AX,BRG,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
BRI.AX,BRI,Basic Materials,Lumber & Wood Production,
BRK.AX,BRK,Energy,Oil & Gas E&P,
BRL.AX,BRL,Basic Materials,Coking Coal,
BRN.AX,BRN,Technology,Semiconductors,
BRU.AX,BRU,Energy,Oil & Gas E&P,
BSA.AX,BSA,Industrials,Engineering & Construction,
BSL.AX,BSL,Basic Materials,Steel,
BSX.AX,BSX,Basic Materials,Other Industrial Metals & Mining,
BTE.AX,BTE,Utilities,Utilities—Renewable,
BTI.AX,BTI,Financial Services,Asset Management,
BTL.AX,BTL,Energy,Oil & Gas E&P,
BTN.AX,BTN,Financial Services,Credit Services,
BTR.AX,BTR,Basic Materials,Gold,
BUB.AX,BUB,Consumer Defensive,Packaged Foods,
BUR.AX,BUR,Basic Materials,Other Industrial Metals & Mining,
BUS.AX,BUS,Basic Materials,Other Industrial Metals & Mining,
BUX.AX,BUX,Basic Materials,Other Industrial Metals & Mining,
BUY.AX,BUY,Energy,Oil & Gas E&P,
BVR.AX,BVR,Basic Materials,Other Industrial Metals & Mining,
BVS.AX,BVS,Technology,Software—Application,
BWF.AX,BWF,Financial Services,Asset Management,
BWN.AX,BWN,Industrials,Marine Shipping,
BWP.AX,BWP,Real Estate,REIT—Industrial,
BXB.AX,BXB,Industrials,Specialty Business Services,
C29.AX,C29,Basic Materials,Other Industrial Metals & Mining,
C79.AX,C79,Technology,Software—Application,
C7A.AX,C7A,Basic Materials,Other Industrial Metals & Mining,
CAA.AX,CAA,Basic Materials,Aluminum,
CAE.AX,CAE,Basic Materials,Other Precious Metals & Mining,
CAF.AX,CAF,Financial Services,Asset Management,
CAN.AX,CAN,Healthcare,Drug Manufacturers—Specialty & Generic,
CAQ.AX,CAQ,Real Estate,,
CAR.AX,CAR,Communication Services,Internet Content & Information,
CAT.AX,CAT,Technology,Scientific & Technical Instruments,
