provider_symbol,symbol,name,region,market_code,sector,industry
EMBASSY.NS,EMBASSY,Embassy Office Parks REIT,india,NSE,,
EMKAYTOOLS.NS,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,india,NSE,,
EMMIL.NS,EMMIL,Energy-Mission Machineries (India) Limited,india,NSE,,
EMPOWER.NS,EMPOWER,Empower India Limited,india,NSE,,
ENFUSE.NS,ENFUSE,Enfuse Solutions Limited,india,NSE,,
ENSER.NS,ENSER,Enser Communications Limited,india,NSE,,
EROSMEDIA.NS,EROSMEDIA,Eros International Media Limited,india,NSE,,
ESCONET.NS,ESCONET,Esconet Technologies Limited,india,NSE,,
ESFL.NS,ESFL,Essen Speciality Films Limited,india,NSE,,
FEDDERSHOL.NS,FEDDERSHOL,Fedders Holding Limited,india,NSE,,
FELIX.NS,FELIX,Felix Industries Limited,india,NSE,,
FERMENTA.NS,FERMENTA,Fermenta Biotech Limited,india,NSE,,
FIDEL.NS,FIDEL,Fidel Softech Limited,india,NSE,,
FONEBOX.NS,FONEBOX,Fonebox Retail Limited,india,NSE,,
FROG.NS,FROG,Frog Cellsat Limited,india,NSE,,
FRONTSP.NS,FRONTSP,Frontier Springs Limited,india,NSE,,
GGBL.NS,GGBL,Ganesh Green Bharat Limited,india,NSE,,
GIRIRAJ.NS,GIRIRAJ,Giriraj Civil Developers Limited,india,NSE,,
GLOBALPET.NS,GLOBALPET,Global Pet Industries Limited,india,NSE,,
GNRL.NS,GNRL,Gujarat Natural Resources Limited,india,NSE,,
GOENKA.NS,GOENKA,Goenka Diamond and Jewels Limited,india,NSE,,
GOLDKART.NS,GOLDKART,Goldkart Jewels Limited,india,NSE,,
GOLDSTAR.NS,GOLDSTAR,Goldstar Power Limited,india,NSE,,
GOYALSALT.NS,GOYALSALT,Goyal Salt Limited,india,NSE,,
GPECO.NS,GPECO,GP ECO Solutions India Limited,india,NSE,,
GRANDOAK.NS,GRANDOAK,Grand Oak Canyons Distillery Limited,india,NSE,,
GRAPHISAD.NS,GRAPHISAD,Graphisads Limited,india,NSE,,
GRAVISSHO.NS,GRAVISSHO,Graviss Hospitality Limited,india,NSE,,
GRCL.NS,GRCL,Gayatri Rubbers and Chemicals Limited,india,NSE,,
GREENCHEF.NS,GREENCHEF,Greenchef Appliances Limited,india,NSE,,
GRETEX.NS,GRETEX,Gretex Industries Limited,india,NSE,,
GSMFOILS.NS,GSMFOILS,GSM Foils Limited,india,NSE,,
GSTL.NS,GSTL,Globesecure Technologies Limited,india,NSE,,
GUJRAFFIA.NS,GUJRAFFIA,Gujarat Raffia Industries Limited,india,NSE,,
HALDYNGL.NS,HALDYNGL,Haldyn Glass Limited,india,NSE,,
HBESD.NS,HBESD,HB Estate Developers Limited,india,NSE,,
HERCULES.NS,HERCULES,Hercules Investments Limited,india,NSE,,
HIGREEN.NS,HIGREEN,Hi-Green Carbon Limited,india,NSE,,
HOACFOODS.NS,HOACFOODS,Hoac Foods India Limited,india,NSE,,
HOLMARC.NS,HOLMARC,Holmarc Opto-Mechatronics Limited,india,NSE,,
HOMESFY.NS,HOMESFY,Homesfy Realty Limited,india,NSE,,
HRHNEXT.NS,HRHNEXT,HRH Next Services Limited,india,NSE,,
IBLFL.NS,IBLFL,IBL Finance Limited,india,NSE,,
IEML.NS,IEML,Indian Emulsifiers Limited,india,NSE,,
INDIFRA.NS,INDIFRA,Indifra Limited,india,NSE,,
INDIGRID.NS,INDIGRID,Indigrid Infrastructure Trust,india,NSE,,
INDPRUD.NS,INDPRUD,Industrial & Prudential Investment Company Limited,india,NSE,,
INFINIUM.NS,INFINIUM,Infinium Pharmachem Limited,india,NSE,,
INFOLLION.NS,INFOLLION,Infollion Research Services Limited,india,NSE,,
INM.NS,INM,Interiors & More Limited,india,NSE,,
INSPIRE.NS,INSPIRE,Inspire Films Limited,india,NSE,,
INVPRECQ.NS,INVPRECQ,Investment & Precision Castings Limited,india,NSE,,
IPSL.NS,IPSL,Integrated Personnel Services Limited,india,NSE,,
ISHAN.NS,ISHAN,Ishan International Limited,india,NSE,,
ITALIANE.NS,ITALIANE,Italian Edibles Limited,india,NSE,,
IWP.NS,IWP,The Indian Wood Products Company Limited,india,NSE,,
JAINAM.NS,JAINAM,Jainam Ferro Alloys (I) Limited,india,NSE,,
JAKHARIA.NS,JAKHARIA,Jakharia Fabric Limited,india,NSE,,
JETAIRWAYS.NS,JETAIRWAYS,Jet Airways (India) Limited,india,NSE,,
JETKNIT.NS,JETKNIT,Jet Knitwears Limited,india,NSE,,
JFLLIFE.NS,JFLLIFE,JFL Life Sciences Limited,india,NSE,,
JIWANRAM.NS,JIWANRAM,Jiwanram Sheoduttrai Industries Limited,india,NSE,,
K2INFRA.NS,K2INFRA,K2 Infragen Limited,india,NSE,,
KAMAHOLD.NS,KAMAHOLD,Kama Holdings Limited,india,NSE,,
KANCHI.NS,KANCHI,Kanchi Karpooram Limited,india,NSE,,
KANDARP.NS,KANDARP,Kandarp Digi Smart BPO Limited,india,NSE,,
KARNIKA.NS,KARNIKA,Karnika Industries Limited,india,NSE,,
KCEIL.NS,KCEIL,Kay Cee Energy & Infra Limited,india,NSE,,
KCK.NS,KCK,Kck Industries Limited,india,NSE,,
KDL.NS,KDL,Kore Digital Limited,india,NSE,,
KEL.NS,KEL,Visdem Technosys Limited,india,NSE,,
KHFM.NS,KHFM,KHFM Hospitality and Facility Management Services Limited,india,NSE,,
