provider_symbol,symbol,name,region,market_code,sector,industry
SAV,SAV,SARATOGA INVESTMENT CORP.,us,NYSE,,
SAY,SAY,SARATOGA INVESTMENT CORP.,us,NYSE,,
SAZ,SAZ,SARATOGA INVESTMENT CORP.,us,NYSE,,
SBXD-UN,SBXD-UN,SilverBox Corp IV,us,NYSE,,
SCCD,SCCD,Sachem Capital Corp.,us,NYSE,,
SCCE,SCCE,Sachem Capital Corp.,us,NYSE,,
SCCF,SCCF,Sachem Capital Corp.,us,NYSE,,
SCCG,SCCG,Sachem Capital Corp.,us,NYSE,,
SCDL,SCDL,UBS AG,us,NYSE,,
SCO,SCO,ProShares Trust II,us,NYSE,,
SCOP,SCOP,Sprott Physical Copper Trust,us,NYSE,,
SFB,SFB,STIFEL FINANCIAL CORP,us,NYSE,,
SGOL,SGOL,abrdn Gold ETF Trust,us,NYSE,,
SHNY,SHNY,BANK OF MONTREAL /CAN/,us,NYSE,,
SIVR,SIVR,abrdn Silver ETF Trust,us,NYSE,,
SLVO,SLVO,CREDIT SUISSE AG,us,NASDAQ,,
SMHB,SMHB,UBS AG,us,NYSE,,
SOEZ,SOEZ,Franklin Solana Trust,us,NYSE,,
SOJC,SOJC,SOUTHERN CO,us,NYSE,,
SOJD,SOJD,SOUTHERN CO,us,NYSE,,
SOJE,SOJE,SOUTHERN CO,us,NYSE,,
SOJF,SOJF,SOUTHERN CO,us,NYSE,,
SOLC,SOLC,Canary Marinade Solana ETF,us,NASDAQ,,
SOYB,SOYB,Teucrium Commodity Trust,us,NYSE,,
SREA,SREA,SEMPRA,us,NYSE,,
SRJN,SRJN,SPIRE INC,us,NYSE,,
SUIS,SUIS,Canary Staked SUI ETF,us,NASDAQ,,
SWKHL,SWKHL,SWK Holdings Corp,us,NASDAQ,,
SWZ,SWZ,Total Return Securities Fund,us,NYSE,,
SZZLU,SZZLU,Sizzle Acquisition Corp. II,us,NASDAQ,,
TAGS,TAGS,Teucrium Commodity Trust,us,NYSE,,
TAVIU,TAVIU,Tavia Acquisition Corp.,us,NASDAQ,,
TCPA,TCPA,TRANSCANADA PIPELINES LTD,us,NYSE,,
TDOG,TDOG,21Shares Dogecoin ETF,us,NASDAQ,,
TMHC,TMHC,Taylor Morrison Home Corp,us,NYSE,,
TMUSI,TMUSI,"T-Mobile US, Inc.",us,NASDAQ,,
TMUSL,TMUSL,"T-Mobile US, Inc.",us,NASDAQ,,
TMUSZ,TMUSZ,"T-Mobile US, Inc.",us,NASDAQ,,
TPGXL,TPGXL,TPG Inc.,us,NASDAQ,,
TRINI,TRINI,Trinity Capital Inc.,us,NASDAQ,,
TRINZ,TRINZ,Trinity Capital Inc.,us,NASDAQ,,
TSUI,TSUI,21Shares Sui ETF,us,NASDAQ,,
TVC,TVC,Tennessee Valley Authority,us,NYSE,,
TVE,TVE,Tennessee Valley Authority,us,NYSE,,
TWOD,TWOD,TWO HARBORS INVESTMENT CORP.,us,NYSE,,
UAC-UN,UAC-UN,United Acquisition Corp. I,us,NYSE,,
UCFI,UCFI,CN Healthy Food Tech Group Corp.,us,NASDAQ,,
UCIB,UCIB,UBS AG,us,NYSE,,
UCO,UCO,ProShares Trust II,us,NYSE,,
UDN,UDN,INVESCO DB US DOLLAR INDEX BEARISH FUND,us,NYSE,,
UGA,UGA,"United States Gasoline Fund, LP",us,NYSE,,
UGL,UGL,ProShares Trust II,us,NYSE,,
ULE,ULE,ProShares Trust II,us,NYSE,,
UNG,UNG,"United States Natural Gas Fund, LP",us,NYSE,,
UNL,UNL,"United States 12 Month Natural Gas Fund, LP",us,NYSE,,
UNMA,UNMA,Unum Group,us,NYSE,,
USCI,USCI,United States Commodity Index Funds Trust,us,NYSE,,
USL,USL,"United States 12 Month Oil Fund, LP",us,NYSE,,
USML,USML,UBS AG,us,NYSE,,
USO,USO,"United States Oil Fund, LP",us,NYSE,,
USOI,USOI,CREDIT SUISSE AG,us,NASDAQ,,
UZD,UZD,"ARRAY DIGITAL INFRASTRUCTURE, INC.",us,NYSE,,
UZE,UZE,"ARRAY DIGITAL INFRASTRUCTURE, INC.",us,NYSE,,
UZF,UZF,"ARRAY DIGITAL INFRASTRUCTURE, INC.",us,NYSE,,
VAVX,VAVX,VanEck Avalanche ETF,us,NASDAQ,,
VSOL,VSOL,VanEck Solana ETF,us,NASDAQ,,
VYLD,VYLD,JPMORGAN CHASE & CO,us,NYSE,,
WEAT,WEAT,Teucrium Commodity Trust,us,NYSE,,
WHFCL,WHFCL,"WhiteHorse Finance, Inc.",us,NASDAQ,,
WPAC-UN,WPAC-UN,White Pearl Acquisition Corp.,us,NYSE,,
WTID,WTID,BANK OF MONTREAL /CAN/,us,NYSE,,
WTIU,WTIU,BANK OF MONTREAL /CAN/,us,NYSE,,
XELLL,XELLL,XCEL ENERGY INC,us,NASDAQ,,
XRP,XRP,Bitwise XRP ETF,us,NYSE,,
XRPZ,XRPZ,Franklin XRP Trust,us,NYSE,,
YCL,YCL,ProShares Trust II,us,NYSE,,
YCS,YCS,ProShares Trust II,us,NYSE,,
YOOV,YOOV,Concorde International Group Ltd.,us,NASDAQ,,
ZSL,ZSL,ProShares Trust II,us,NYSE,,
